Name,Movies,Number of Movies,Url
John Cassini,['Seven'],1,https://imdb.com/name/nm0144307?ref_=tt_cl_t_7
Bob Mack,['Seven'],1,https://imdb.com/name/nm0532943?ref_=tt_cl_t_8
Peter Crombie,['Seven'],1,https://imdb.com/name/nm0188598?ref_=tt_cl_t_9
Reg E. Cathey,['Seven'],1,https://imdb.com/name/nm0146146?ref_=tt_cl_t_10
Toshirô Mifune,"['Les 7 Samouraïs', ""Entre le ciel et l'enfer"", 'Le garde du corps', 'Rashomon']",4,https://imdb.com/name/nm0001536?ref_=tt_cl_t_1
Takashi Shimura,"['Les 7 Samouraïs', ""Entre le ciel et l'enfer"", 'Vivre', 'Le garde du corps', 'Rashomon']",5,https://imdb.com/name/nm0793766?ref_=tt_cl_t_2
Keiko Tsushima,['Les 7 Samouraïs'],1,https://imdb.com/name/nm0875477?ref_=tt_cl_t_3
Yukiko Shimazaki,['Les 7 Samouraïs'],1,https://imdb.com/name/nm0793616?ref_=tt_cl_t_4
Kamatari Fujiwara,"['Les 7 Samouraïs', 'Vivre']",2,https://imdb.com/name/nm0297869?ref_=tt_cl_t_5
Daisuke Katô,"['Les 7 Samouraïs', 'Le garde du corps', 'Rashomon']",3,https://imdb.com/name/nm0441961?ref_=tt_cl_t_6
Isao Kimura,"['Les 7 Samouraïs', ""Entre le ciel et l'enfer""]",2,https://imdb.com/name/nm0454087?ref_=tt_cl_t_7
Minoru Chiaki,"['Les 7 Samouraïs', 'Vivre', 'Rashomon']",3,https://imdb.com/name/nm0156928?ref_=tt_cl_t_8
Seiji Miyaguchi,['Les 7 Samouraïs'],1,https://imdb.com/name/nm0594348?ref_=tt_cl_t_9
Yoshio Kosugi,['Les 7 Samouraïs'],1,https://imdb.com/name/nm0467566?ref_=tt_cl_t_10
James Stewart,"['La vie est belle', 'Fenêtre sur cour', 'Sueurs froides', 'Mr. Smith au sénat']",4,https://imdb.com/name/nm0000071?ref_=tt_cl_t_1
Donna Reed,['La vie est belle'],1,https://imdb.com/name/nm0001656?ref_=tt_cl_t_2
Lionel Barrymore,['La vie est belle'],1,https://imdb.com/name/nm0000859?ref_=tt_cl_t_3
Thomas Mitchell,"['La vie est belle', 'Autant en emporte le vent', 'Mr. Smith au sénat']",3,https://imdb.com/name/nm0593775?ref_=tt_cl_t_4
Henry Travers,['La vie est belle'],1,https://imdb.com/name/nm0871287?ref_=tt_cl_t_5
Beulah Bondi,"['La vie est belle', 'Mr. Smith au sénat']",2,https://imdb.com/name/nm0094135?ref_=tt_cl_t_6
Frank Faylen,['La vie est belle'],1,https://imdb.com/name/nm0269709?ref_=tt_cl_t_7
Ward Bond,['La vie est belle'],1,https://imdb.com/name/nm0000955?ref_=tt_cl_t_8
Gloria Grahame,['La vie est belle'],1,https://imdb.com/name/nm0002108?ref_=tt_cl_t_9
H.B. Warner,"['La vie est belle', 'Mr. Smith au sénat']",2,https://imdb.com/name/nm0912478?ref_=tt_cl_t_10
Jodie Foster,"['Le Silence des agneaux', 'Taxi Driver']",2,https://imdb.com/name/nm0000149?ref_=tt_cl_t_1
Anthony Hopkins,"['Le Silence des agneaux', 'The Father', 'Elephant Man']",3,https://imdb.com/name/nm0000164?ref_=tt_cl_t_2
Lawrence A. Bonney,['Le Silence des agneaux'],1,https://imdb.com/name/nm0095029?ref_=tt_cl_t_3
Kasi Lemmons,['Le Silence des agneaux'],1,https://imdb.com/name/nm0501435?ref_=tt_cl_t_4
Lawrence T. Wrentz,['Le Silence des agneaux'],1,https://imdb.com/name/nm0942145?ref_=tt_cl_t_5
Scott Glenn,['Le Silence des agneaux'],1,https://imdb.com/name/nm0001277?ref_=tt_cl_t_6
Anthony Heald,['Le Silence des agneaux'],1,https://imdb.com/name/nm0372217?ref_=tt_cl_t_7
Frankie Faison,['Le Silence des agneaux'],1,https://imdb.com/name/nm0265670?ref_=tt_cl_t_8
Don Brockett,['Le Silence des agneaux'],1,https://imdb.com/name/nm0110667?ref_=tt_cl_t_9
Frank Seals Jr.,['Le Silence des agneaux'],1,https://imdb.com/name/nm0780557?ref_=tt_cl_t_10
Alexandre Rodrigues,['La cité de Dieu'],1,https://imdb.com/name/nm1179105?ref_=tt_cl_t_1
Leandro Firmino,['La cité de Dieu'],1,https://imdb.com/name/nm1129884?ref_=tt_cl_t_2
Matheus Nachtergaele,['La cité de Dieu'],1,https://imdb.com/name/nm0618690?ref_=tt_cl_t_3
Phellipe Haagensen,['La cité de Dieu'],1,https://imdb.com/name/nm1249574?ref_=tt_cl_t_4
Douglas Silva,['La cité de Dieu'],1,https://imdb.com/name/nm1179683?ref_=tt_cl_t_5
Jonathan Haagensen,['La cité de Dieu'],1,https://imdb.com/name/nm1178560?ref_=tt_cl_t_6
Seu Jorge,['La cité de Dieu'],1,https://imdb.com/name/nm1179580?ref_=tt_cl_t_7
Jefechander Suplino,['La cité de Dieu'],1,https://imdb.com/name/nm1403603?ref_=tt_cl_t_8
Alice Braga,['La cité de Dieu'],1,https://imdb.com/name/nm0103797?ref_=tt_cl_t_9
Emerson Gomes,['La cité de Dieu'],1,https://imdb.com/name/nm1248280?ref_=tt_cl_t_10
Matt Damon,"['Il faut sauver le soldat Ryan', 'Les infiltrés', 'Will Hunting', ""Le Mans '66""]",4,https://imdb.com/name/nm0000354?ref_=tt_cl_t_2
Tom Sizemore,"['Il faut sauver le soldat Ryan', 'Heat']",2,https://imdb.com/name/nm0001744?ref_=tt_cl_t_3
Edward Burns,['Il faut sauver le soldat Ryan'],1,https://imdb.com/name/nm0122653?ref_=tt_cl_t_4
Barry Pepper,"['Il faut sauver le soldat Ryan', 'La ligne verte']",2,https://imdb.com/name/nm0001608?ref_=tt_cl_t_5
Adam Goldberg,"['Il faut sauver le soldat Ryan', ""Un homme d'exception""]",2,https://imdb.com/name/nm0004965?ref_=tt_cl_t_6
Vin Diesel,['Il faut sauver le soldat Ryan'],1,https://imdb.com/name/nm0004874?ref_=tt_cl_t_7
Giovanni Ribisi,['Il faut sauver le soldat Ryan'],1,https://imdb.com/name/nm0000610?ref_=tt_cl_t_8
Jeremy Davies,['Il faut sauver le soldat Ryan'],1,https://imdb.com/name/nm0001111?ref_=tt_cl_t_9
